iter	Passed	Remaining
0	187	187001
1	390	195016
2	588	195672
3	827	206145
4	1036	206275
5	1283	212596
6	1558	221017
7	1774	220033
8	2035	224180
9	2207	218519
10	2343	210658
11	2581	212507
12	2729	207256
13	2937	206858
14	3112	204356
15	3253	200060
16	3421	197814
17	3536	192921
18	3709	191519
19	3869	189595
20	4011	187033
21	4143	184215
22	4353	184934
23	4913	199801
24	5784	225579
25	6305	236231
26	6611	238274
27	6930	240575
28	7802	261246
29	8078	261209
30	8392	262339
31	8678	262519
32	9096	266549
33	9316	264686
34	9649	266037
35	10054	269238
36	10438	271680
37	10785	273051
38	11114	273879
39	11551	277245
40	11793	275863
41	12097	275930
42	12309	273962
43	12523	272094
44	12993	275752
45	13280	275426
46	13504	273831
47	13681	271351
48	13932	270409
49	14177	269367
50	14369	267392
51	14559	265438
52	14710	262846
53	14890	260865
54	15106	259557
55	15452	260480
56	15702	259785
57	16225	263530
58	16626	265171
59	17084	267654
60	17319	266599
61	17587	266076
62	17896	266170
63	18213	266368
64	18558	266961
65	18848	266735
66	19084	265757
67	19325	264869
68	19535	263591
69	19737	262223
70	19933	260818
71	20115	259261
72	20284	257586
73	20476	256232
74	20625	254381
75	20846	253443
76	21082	252713
77	21231	250963
78	21440	249955
79	21616	248594
80	21803	247371
81	21967	245930
82	22137	244574
83	22315	243344
84	22509	242303
85	22685	241097
86	22847	239772
87	23040	238783
88	23217	237649
89	23340	235996
90	23505	234801
91	23644	233363
92	23766	231784
93	23926	230606
94	24175	230306
95	24357	229361
96	24511	228181
97	24619	226598
98	24742	225181
99	24869	223823
100	25020	222707
101	25131	221258
102	25238	219798
103	25384	218693
104	25547	217765
105	25696	216723
106	25824	215525
107	26011	214833
108	26172	213944
109	26340	213120
110	26487	212138
111	26649	211289
112	26800	210375
113	26956	209502
114	27126	208756
115	27256	207711
116	27414	206900
117	27608	206360
118	28022	207462
119	28314	207638
120	28505	207077
121	28659	206256
122	28788	205265
123	29050	205230
124	29239	204675
125	29393	203890
126	29538	203049
127	29747	202652
128	29964	202316
129	30215	202213
130	30456	202033
131	30708	201929
132	31063	202498
133	31323	202432
134	31782	203643
135	32226	204730
136	32711	206060
137	32905	205542
138	33041	204668
139	33182	203833
140	33440	203727
141	33575	202871
142	33694	201931
143	33882	201414
144	34003	200501
145	34140	199698
146	34273	198882
147	34431	198216
148	34654	197925
149	34943	198014
150	35208	197959
151	35707	199210
152	35994	199266
153	36210	198923
154	36376	198313
155	36530	197641
156	36710	197116
157	36851	196387
158	37012	195771
159	37138	194979
160	37278	194264
161	37437	193657
162	37635	193256
163	37801	192697
164	37982	192213
165	38183	191839
166	38350	191293
167	38498	190660
168	38642	190011
169	38772	189299
170	38910	188637
171	39035	187917
172	39210	187437
173	39514	187582
174	39801	187636
175	40103	187757
176	40307	187419
177	40540	187216
178	40740	186860
179	40914	186388
180	41103	185985
181	41260	185446
182	41413	184890
183	41556	184292
184	41680	183618
185	41872	183248
186	42076	182929
187	42298	182694
188	42616	182868
189	42927	183005
190	43214	183037
191	43660	183738
192	44057	184218
193	44337	184207
194	44615	184183
195	44857	184008
196	45044	183608
197	45208	183117
198	45363	182592
199	45545	182183
200	45744	181841
201	46134	182254
202	46339	181935
203	46569	181712
204	46810	181535
205	47015	181213
206	47320	181282
207	47574	181149
208	47775	180815
209	48134	181077
210	48431	181103
211	48680	180943
212	48893	180652
213	49015	180028
214	49218	179706
215	49399	179300
216	49542	178765
217	49712	178328
218	49874	177864
219	50060	177486
220	50239	177087
221	50424	176712
222	50589	176270
223	50708	175669
224	50845	175133
225	50999	174662
226	51171	174252
227	51386	173991
228	51543	173535
229	51699	173082
230	51867	172666
231	51974	172054
232	52209	171867
233	52486	171815
234	52637	171352
235	52757	170791
236	52901	170312
237	53044	169830
238	53238	169516
239	53371	169008
240	53494	168475
241	53611	167925
242	53778	167532
243	53906	167022
244	54032	166509
245	54163	166014
246	54280	165477
247	54417	165006
248	54566	164575
249	54717	164152
250	54941	163950
251	55080	163493
252	55243	163111
253	55363	162603
254	55494	162130
255	55605	161603
256	55732	161126
257	55854	160636
258	55967	160122
259	56090	159641
260	56210	159154
261	56362	158762
262	56493	158309
263	56613	157831
264	56790	157513
265	56969	157202
266	57134	156853
267	57251	156374
268	57389	155955
269	57506	155480
270	57629	155025
271	57758	154588
272	57889	154161
273	58010	153705
274	58189	153409
275	58508	153478
276	58690	153189
277	58841	152818
278	58968	152387
279	59096	151961
280	59206	151491
281	59376	151178
282	59628	151072
283	59761	150665
284	59903	150284
285	60029	149864
286	60171	149484
287	60461	149475
288	60750	149459
289	61077	149534
290	61332	149431
291	61527	149182
292	61745	148988
293	61941	148743
294	62169	148573
295	62398	148407
296	62589	148150
297	62792	147920
298	62969	147631
299	63170	147398
300	63405	147243
301	63622	147047
302	63833	146838
303	64001	146530
304	64182	146252
305	64363	145975
306	64560	145735
307	64737	145449
308	64909	145153
309	65113	144930
310	65368	144818
311	65624	144710
312	65805	144434
313	65985	144159
314	66182	143919
315	66396	143718
316	66626	143552
317	66828	143323
318	67056	143151
319	67215	142833
320	67429	142631
321	67603	142345
322	67808	142125
323	67999	141876
324	68232	141713
325	68440	141499
326	68641	141270
327	68868	141097
328	69142	141017
329	69365	140831
330	69544	140558
331	69744	140329
